image,set,q1,q2,q3,q4,q5
er_posttest_lab_1.png,1,True,True,False,True,True
er_posttest_lab_1004.png,2,False,False,True,False,True
er_posttest_lab_1015.png,1,True,True,True,False,True
er_posttest_lab_1017.png,5,True,True,True,False,False
er_posttest_lab_1036.png,3,True,True,True,True,True
er_posttest_lab_1043.png,3,True,False,True,False,False
er_posttest_lab_1047.png,2,False,False,True,False,False
er_posttest_lab_1056.png,4,True,True,False,True,False
er_posttest_lab_2.png,4,True,True,True,False,False
er_posttest_lab_802.png,4,True,False,False,False,False
er_posttest_lab_809.png,2,True,False,True,False,True
er_posttest_lab_810.png,5,True,False,True,False,False
er_posttest_lab_813.png,1,True,True,False,True,True
er_posttest_lab_815.png,2,True,False,True,True,False
er_posttest_lab_818.png,1,True,True,False,False,True
er_posttest_lab_819.png,5,True,True,True,False,True
er_posttest_lab_823.png,3,True,True,True,True,True
er_posttest_lab_825.png,1,True,True,False,True,True
er_posttest_lab_829.png,2,True,False,True,True,False
er_posttest_lab_831.png,5,False,False,True,False,True
er_posttest_lab_832.png,3,True,False,True,True,True
er_posttest_lab_835.png,4,False,True,True,False,False
er_posttest_lab_839.png,3,True,False,True,True,True
er_posttest_lab_845.png,4,False,True,False,False,False
er_posttest_lab_847.png,2,True,False,False,False,False
er_posttest_lab_848.png,5,True,True,False,False,False
er_posttest_lab_849.png,1,True,True,True,False,True
er_posttest_lab_851.png,3,True,False,False,True,False
er_posttest_lab_852.png,1,True,True,False,True,True
er_posttest_lab_854.png,5,True,True,False,False,True
er_posttest_lab_906.png,2,True,False,True,False,False
er_posttest_lab_911.png,3,True,False,True,True,True
er_posttest_lab_914.png,5,True,True,False,False,False
er_posttest_lab_916.png,4,False,True,False,False,False
er_posttest_lab_921.png,2,True,False,True,True,False
er_posttest_lab_924.png,5,False,True,False,True,False
er_posttest_lab_935.png,3,True,False,False,True,True
er_posttest_lab_936.png,4,False,False,False,False,False
er_posttest_lab_937.png,4,False,True,False,False,False
er_posttest_lab_938.png,1,True,True,True,True,True
er_posttest_lab_940.png,2,True,False,True,False,True
er_posttest_lab_941.png,3,True,True,False,True,True
er_posttest_lab_942.png,1,True,True,True,True,True
er_posttest_lab_944.png,2,True,False,True,False,False
er_posttest_lab_947.png,3,True,False,False,True,True
er_posttest_lab_948.png,2,True,False,True,True,True
er_posttest_lab_951.png,5,True,True,False,True,True
er_posttest_lab_955.png,1,True,True,False,False,False
er_posttest_lab_957.png,4,False,False,True,True,False
er_posttest_watrin_1001.png,2,True,False,False,True,True
