image,marked,count,left_margin_x,green_margin_x
er_posttest_lab_1.png,"[(416, 2319), (254, 2162), (417, 2241), (577, 2242), (737, 2159), (245, 179)]",6,47,146
er_posttest_lab_1004.png,"[(233, 2185), (634, 2104), (555, 2185), (313, 2264), (397, 2105), (328, 117)]",6,75,119
er_posttest_lab_1015.png,"[(440, 2319), (679, 2240), (279, 2161), (357, 2240), (275, 177), (757, 2162)]",6,77,159
er_posttest_lab_1017.png,"[(305, 2179), (224, 2099), (143, 2260), (545, 2098), (783, 2179), (466, 111)]",6,57,114
er_posttest_lab_1036.png,"[(297, 2182), (135, 2104), (777, 2181), (379, 2260), (617, 2102), (357, 115)]",6,51,103
er_posttest_lab_1043.png,"[(320, 2183), (157, 2263), (719, 2105), (640, 2185), (157, 2107), (377, 113)]",6,71,125
er_posttest_lab_1047.png,"[(651, 2095), (411, 2255), (652, 2173), (172, 2097), (254, 2177), (322, 107)]",6,70,143
er_posttest_lab_1056.png,"[(308, 2266), (226, 2108), (545, 2187), (229, 2187), (424, 117), (628, 2105)]",6,65,118
er_posttest_lab_2.png,"[(239, 2107), (643, 2104), (721, 2183), (431, 117), (320, 2183), (320, 2265)]",6,72,127
er_posttest_lab_802.png,"[(785, 2186), (224, 2107), (142, 2267), (785, 2105), (415, 116)]",5,58,109
er_posttest_lab_809.png,"[(322, 2108), (241, 2188), (321, 2269), (803, 2188), (328, 118)]",5,77,130
er_posttest_lab_810.png,"[(297, 2187), (697, 2189), (135, 2265), (215, 2107), (781, 2110), (477, 119)]",6,67,102
er_posttest_lab_813.png,"[(441, 2317), (280, 2236), (760, 2159), (599, 2239), (277, 2158), (277, 176)]",6,77,168
er_posttest_lab_815.png,"[(705, 2187), (787, 2108), (224, 2266), (304, 2109), (224, 2187), (310, 119)]",6,57,115
er_posttest_lab_818.png,"[(287, 2151), (449, 2230), (767, 2150), (686, 2230), (448, 2312), (279, 169)]",6,81,178
er_posttest_lab_819.png,"[(328, 2270), (568, 2110), (327, 2191), (248, 2113), (490, 122), (806, 2191)]",6,79,137
er_posttest_lab_823.png,"[(383, 2265), (622, 2107), (142, 2108), (305, 2186), (785, 2188), (365, 116)]",6,61,114
er_posttest_lab_825.png,"[(595, 2240), (437, 2320), (437, 2240), (757, 2161), (273, 2164), (257, 179)]",6,61,164
er_posttest_lab_829.png,"[(242, 2186), (644, 2107), (325, 2105), (724, 2182), (403, 2264), (332, 116)]",6,79,134
er_posttest_lab_831.png,"[(640, 2104), (158, 2104), (321, 2263), (640, 2186), (321, 2187), (490, 116)]",6,79,129
er_posttest_lab_832.png,"[(716, 2108), (400, 2269), (157, 2107), (319, 2188), (795, 2186), (380, 117)]",6,72,127
er_posttest_lab_835.png,"[(797, 2187), (315, 2187), (638, 2107), (153, 2267), (157, 2107), (431, 116)]",6,74,122
er_posttest_lab_839.png,"[(160, 2107), (401, 2266), (802, 2188), (560, 2110), (319, 2185), (387, 118)]",6,81,128
er_posttest_lab_845.png,"[(700, 2186), (140, 2104), (415, 117), (619, 2107), (301, 2265), (139, 2188)]",6,56,110
er_posttest_lab_847.png,"[(380, 2182), (217, 2261), (299, 2104), (619, 2104), (619, 2185), (319, 115)]",6,62,103
er_posttest_lab_848.png,"[(707, 2186), (548, 2105), (229, 2183), (229, 2104), (143, 2261), (483, 113)]",6,69,114
er_posttest_lab_849.png,"[(431, 2315), (751, 2158), (265, 176), (670, 2235), (349, 2237), (272, 2161)]",6,67,160
er_posttest_lab_851.png,"[(783, 2189), (703, 2110), (141, 2109), (383, 2188), (141, 2266), (363, 119)]",6,55,112
er_posttest_lab_852.png,"[(598, 2240), (758, 2161), (199, 2239), (437, 2320), (277, 2158), (269, 178)]",6,73,166
er_posttest_lab_854.png,"[(693, 2188), (291, 2266), (212, 2109), (373, 2188), (459, 119), (533, 2107)]",6,51,105
er_posttest_lab_906.png,"[(237, 2185), (639, 2186), (641, 2105), (239, 2263), (331, 117), (316, 2105)]",6,79,124
er_posttest_lab_911.png,"[(405, 2265), (727, 2107), (326, 2188), (166, 2107), (806, 2185), (386, 119)]",6,81,134
er_posttest_lab_914.png,"[(183, 2181), (661, 2175), (580, 2095), (262, 2099), (182, 2261), (481, 109)]",6,69,151
er_posttest_lab_916.png,"[(164, 2183), (164, 2103), (805, 2181), (321, 2260), (435, 112), (646, 2101)]",6,78,131
er_posttest_lab_921.png,"[(297, 2101), (217, 2181), (616, 2099), (215, 2260), (695, 2177), (302, 110)]",6,51,107
er_posttest_lab_924.png,"[(266, 2189), (586, 2109), (185, 2109), (585, 2189), (183, 2270), (509, 121)]",6,101,156
er_posttest_lab_935.png,"[(418, 2257), (737, 2093), (817, 2173), (418, 2176), (369, 109), (177, 2099)]",6,67,149
er_posttest_lab_936.png,"[(152, 2179), (314, 2257), (151, 2098), (551, 2096), (403, 107), (791, 2173)]",6,45,123
er_posttest_lab_937.png,"[(820, 2171), (661, 2093), (343, 2257), (177, 2099), (261, 2177), (429, 109)]",6,72,150
er_posttest_lab_938.png,"[(297, 2145), (459, 2301), (617, 2221), (777, 2140), (271, 164), (376, 2224)]",6,71,186
er_posttest_lab_940.png,"[(661, 2093), (260, 2181), (340, 2259), (821, 2171), (325, 110), (341, 2098)]",6,73,150
er_posttest_lab_941.png,"[(221, 2192), (783, 2189), (623, 2111), (383, 2271), (142, 2111), (359, 123)]",6,57,113
