image,marked,count,left_margin_x
normalization_posttest_lab_1001.png,"[(361, 200), (352, 2092), (646, 2019), (283, 2164), (352, 2020), (574, 2092), (1235, 199)]",7,125
normalization_posttest_lab_1003.png,"[(590, 2019), (736, 2091), (297, 2019), (225, 2163), (313, 200), (299, 2093)]",6,75
normalization_posttest_lab_1006.png,"[(647, 2081), (429, 2083), (281, 2153), (207, 2227), (295, 202), (573, 2152)]",6,95
normalization_posttest_lab_1007.png,"[(322, 2018), (397, 2163), (613, 2090), (687, 2018), (322, 2091), (496, 201)]",6,169
normalization_posttest_lab_1008.png,"[(326, 2164), (473, 2020), (619, 2091), (399, 2092), (545, 200), (694, 2019)]",6,171
normalization_posttest_lab_1009.png,"[(301, 2023), (518, 2093), (664, 2020), (155, 2170), (153, 2096), (358, 202)]",6,64
normalization_posttest_lab_1011.png,"[(517, 2091), (225, 2020), (401, 201), (589, 2019), (225, 2092), (299, 2164)]",6,71
normalization_posttest_lab_1012.png,"[(625, 2151), (334, 2080), (269, 200), (625, 2078), (187, 2155), (187, 2227)]",6,67
normalization_posttest_lab_1018.png,"[(398, 2091), (427, 200), (326, 2162), (617, 2015), (179, 2020), (692, 2091)]",6,99
normalization_posttest_lab_1021.png,"[(308, 2092), (525, 2092), (381, 2020), (601, 2019), (454, 200), (235, 2164)]",6,81
normalization_posttest_lab_1026.png,"[(389, 2091), (604, 2090), (389, 2018), (681, 2017), (316, 2164), (394, 200)]",6,155
normalization_posttest_lab_1029.png,"[(226, 2092), (299, 2164), (665, 2091), (592, 2018), (401, 200), (227, 2019)]",6,73
normalization_posttest_lab_1030.png,"[(532, 2081), (388, 2227), (167, 2156), (255, 202), (605, 2156), (389, 2083)]",6,55
normalization_posttest_lab_1031.png,"[(201, 2091), (566, 2090), (422, 2164), (716, 2017), (349, 2019), (416, 201)]",6,123
normalization_posttest_lab_1032.png,"[(245, 2167), (319, 2093), (452, 200), (610, 2018), (173, 2023), (757, 2090)]",6,75
normalization_posttest_lab_1033.png,"[(172, 2169), (685, 2020), (317, 2024), (536, 2095), (369, 203), (172, 2098)]",6,75
normalization_posttest_lab_1034.png,"[(219, 2151), (585, 2150), (292, 2224), (367, 2079), (659, 2077), (302, 201)]",6,101
normalization_posttest_lab_1037.png,"[(357, 2092), (649, 2091), (356, 2019), (647, 2018), (363, 202), (284, 2163)]",6,125
normalization_posttest_lab_1039.png,"[(709, 2081), (268, 2153), (707, 2152), (344, 2225), (365, 199), (417, 2081)]",6,163
normalization_posttest_lab_1040.png,"[(182, 2078), (254, 2151), (620, 2077), (269, 200), (766, 2151), (256, 2223)]",6,67
normalization_posttest_lab_1041.png,"[(658, 2087), (292, 2017), (302, 199), (291, 2090), (217, 2162), (585, 2014)]",6,63
normalization_posttest_lab_1042.png,"[(364, 2019), (583, 2018), (218, 2164), (290, 2092), (435, 202), (509, 2092)]",6,63
normalization_posttest_lab_1048.png,"[(517, 2092), (736, 2019), (297, 2093), (225, 2021), (302, 202), (223, 2167)]",6,66
normalization_posttest_lab_1049.png,"[(590, 2091), (370, 2018), (445, 199), (591, 2018), (296, 2091), (151, 2165)]",6,69
normalization_posttest_lab_1051.png,"[(146, 2167), (509, 2093), (293, 2093), (355, 201), (584, 2020), (221, 2023)]",6,63
normalization_posttest_lab_1052.png,"[(381, 2165), (673, 2020), (368, 203), (525, 2092), (161, 2095), (233, 2020)]",6,73
normalization_posttest_lab_1053.png,"[(350, 2095), (424, 2021), (277, 2168), (715, 2095), (715, 2021), (502, 203)]",6,125
normalization_posttest_lab_1057.png,"[(375, 2089), (230, 2017), (593, 2017), (668, 2089), (407, 199), (376, 2163)]",6,77
normalization_posttest_lab_805.png,"[(553, 2147), (185, 2150), (698, 2074), (269, 199), (407, 2075), (260, 2222)]",6,69
normalization_posttest_lab_806.png,"[(569, 2091), (206, 2163), (719, 2018), (353, 2018), (352, 2091), (418, 202)]",6,123
normalization_posttest_lab_807.png,"[(659, 2018), (219, 2165), (367, 2092), (508, 2092), (292, 2020), (436, 200)]",6,61
normalization_posttest_lab_814.png,"[(386, 2079), (314, 2224), (241, 2152), (676, 2078), (675, 2149), (319, 202)]",6,114
normalization_posttest_lab_821.png,"[(373, 2092), (667, 2019), (152, 2020), (298, 2164), (665, 2092), (405, 202)]",6,75
normalization_posttest_lab_826.png,"[(622, 2093), (843, 2020), (331, 2092), (405, 2021), (257, 2165), (469, 202)]",6,175
